business_id,name,categories,stars,postal_code
-mUXTkHOxfLxFDnaMcvqAA,Kantapia,"Restaurants, Korean",4.0,H3A 1B5
-nfpBRR59ixhquMe7HGA-Q,Ai Dumplings,"Dim Sum, Restaurants, Chinese",4.0,H4V 1S9
-ooEO2YqDQVYNHnSF2BPfw,Ristorante Lucca,"Restaurants, Italian",4.5,H2S 1J5
-otvy1Q2hPQ1VvnEJPhX0g,Mouton Vert,"Restaurants, Vegan, Grocery, Food, Vegetarian, Coffee & Tea",4.5,H4A 1X9
-qfZdXO2c-GpvOhr0KmNCg,Bistro Guru,"Indian, Restaurants",4.0,H2X 3L3
-sb0ObLL_3_x5a-U3DL8ug,Mango Bay,"Caribbean, Soul Food, Restaurants, Seafood",4.0,H3G 2H4
-uGMZNvGu7gsrOaUMAmf_A,Cafe Bistro Mon Plaisir,"French, Cafes, Canadian (New), Breakfast & Brunch, Food, Restaurants, Coffee & Tea",4.5,H2Y 2Y9
-uRKqmzVCRxsuuH0nXq6Bw,La Matraca,"Restaurants, Mexican",4.0,H2J 2L3
-uSh48X89XBk5FtWAVSKBQ,Maison Guang Zhou,"Restaurants, Chinese",3.5,H2Z 1C1
-u_SZ-O5C4y5aoFdDKLHLg,Le Chien Rose,"French, Restaurants",3.5,H3L 1V2
-unEKbRspO6OuEaPdmRywg,XO Le Restaurant,"Nightlife, American (New), Lounges, French, Bars, Wine Bars, Cocktail Bars, Restaurants",4.0,H2Y 1N9
-vlCUSW2lNPkmfBcewWxVA,ZIBO!,"Sandwiches, Canadian (New), Pizza, Restaurants",3.0,H3C 0L8
-wnEjwg4AFp9VXBqqCA_KQ,Fondue Chinoise Express,"Hot Pot, Fondue, Chinese, Restaurants",5.0,H3H 1L7
01cteR3ZkIOWStcCGDtRRA,Bon-D,"Breakfast & Brunch, Canadian (New), Restaurants",3.5,H1Y 1X8
03G5mj1gFf4IteHYORhdmQ,Eggs Frutti,"Restaurants, Breakfast & Brunch",3.5,H3C 0E9
03bL5yYHb-chhJwyeSAkfQ,Student Tasty Biryani,"Pakistani, Restaurants, Indian",4.0,H3H 2T5
06YGV5eHdvfjxyy7oJ-W7Q,Neos,"Greek, Restaurants",4.0,H2P 1T1
07XD07hgSaC-yZeyKBXSrg,Brit & Chips,"Fish & Chips, Restaurants",4.5,H3T 1Y8
08R3xSHVEFtvn7oxLu54sQ,Caifan Tacos Bar,"Mexican, Bars, Nightlife, Cocktail Bars, Restaurants",4.5,H2S 1R1
09Hl38pDGEe1uSBNiqLKzg,Casa de Mateo,"Restaurants, Mexican",3.0,H4A 1G8
0FeAiSKw6CnqZoLgMsfZGQ,Café Des Alizés,"Juice Bars & Smoothies, Cafes, Sandwiches, Internet Cafes, Desserts, Food, Restaurants, Coffee & Tea",3.5,H1W
0FyqRzszTz9EtcY-gGpYLw,786 Halal Restaurant,"Restaurants, Pakistani",2.5,H3N 1S4
0H4XjlqQaW5I3MJw8eoWaQ,Ici Sushi,"Japanese, Restaurants, Sushi Bars",3.5,H2P 1V5
0HJvV5cLxSN5uDgZUBtgBA,Pintxo,"Basque, Tapas/Small Plates, Restaurants, Spanish, Tapas Bars",4.5,H2W 1M6
0I9PxZ8N5mIJTyaYgMTQ8w,Addies,"Restaurants, Nightlife, Bars, Comfort Food",3.5,H3G 1V7
0JGMKaKJGVuDus5WcJzvjw,Liverpool House,"Restaurants, French, Italian, Food",4.5,H3J 1N6
0KbcIOCoDrIaBPx9hfoXcQ,Beaufort,"Bistros, French, Restaurants, Cafes",4.0,H2S 1L9
0ML-qyU4P6LmoV-O2NRQuQ,Grillado's,"Portuguese, Restaurants, Chicken Shop",3.5,H3H 1M6
0R8eMs5RATyUEKLUTY_4YQ,L'Express St Zotique,"Sandwiches, Salad, Convenience Stores, Restaurants, Food, Juice Bars & Smoothies",4.0,H2S 1M2
0S46SVEicJjWzqMOI95DgQ,MajesThé,"Taiwanese, Bubble Tea, Asian Fusion, Food, Breakfast & Brunch, Restaurants, Ice Cream & Frozen Yogurt, Coffee & Tea, Tea Rooms",4.0,H3A 2M3
0SVfiZGhqZ8iZFcC7QQakg,McDonald's,"Fast Food, Burgers, Restaurants",3.0,H4P 2N1
0S_nJKP50VxtyPvA9VUOeQ,Queen Sushi,"Sushi Bars, Restaurants",3.5,H2V 4G3
0SzsjK9u-tiYgefzJO04jw,Cone Gyro Bar,"Greek, Restaurants",3.5,H2P 1T1
0Tl7HgQfU2lkn_FvbYd-MQ,Planete Poutine et Cie,"Nightlife, Poutineries, Canadian (New), Restaurants",2.5,H3V 1G6
0UgG-T6LHGkKp_ufk_FVrw,Chicha Donburi,"Coffee & Tea, Japanese, Restaurants, Food, Taiwanese",4.0,H3G 2E4
0Ul_eedbOO0EBvehwgCR1g,Le Ice & Tacos,"Latin American, Restaurants, Tex-Mex, Mexican",3.0,H2T 1N4
0W27hbZN7Z-PrkhAb0y9Eg,B Montréal,"Juice Bars & Smoothies, Delis, Food, Coffee & Tea, Sandwiches, Restaurants",4.5,H2J 2J8
0W4lkclzZThpx3V65bVgig,Schwartz's,"Specialty Food, Sandwiches, Food, Imported Food, Cheese Shops, Delis, Restaurants, Ethnic Food",4.0,H2W 1X9
0WhxNqfHfiuolkcrCo-JHQ,Bungalow,"Restaurants, Bistros",5.0,H2J 1Y4
0WxO9_lzwKIdPF93ucUxQA,Metro,"Food Delivery Services, Caterers, Food, Breakfast & Brunch, Grocery, Restaurants, Event Planning & Services",2.5,H3S 1P6
0Y5Kzo8PWHTjk0tlfAKcDQ,Caballero,"Restaurants, Tapas/Small Plates",3.5,H2L 1E3
0b8zYCAgKzFq0coWCa2xng,Porco,"Sandwiches, Restaurants, Canadian (New), Italian",4.0,H4A 1E4
0begTEvawkH5I-xK-28Ong,Rayan,"Specialty Food, Canadian (New), Seafood, Seafood Markets, Restaurants, Food",4.0,H1T 1B6
0cdE2vd_zmYKPvokkkkZ1g,Le Painnamou,"Desserts, Korean, Bakeries, Restaurants, Food",4.5,H3G 2E8
0em7keGjiaWuWYelDbhjHg,Ma Tante Quiche,"Restaurants, Specialty Food, Food, Breakfast & Brunch, Local Flavor",4.0,H3K 1J8
0gMB7yvyLkXkKO0Xgz9KHA,Wood35 Restaurant Bar,"Restaurants, Italian, French",3.0,H2X 2T6
0hKYp-06rwmWBUL1H-iXRg,La Caverne,"Restaurants, Russian",4.0,H3T 1X8
0jKTaXuuQ-l5PWL4jZnNQw,Côte St-Luc BAR-B-Q,"Poutineries, Barbeque, Restaurants, Chicken Shop",3.5,H3X 2C3
0kj2vPfD91pzvD9vFqgjlg,Rosewood,"Bars, Pubs, Nightlife, Cocktail Bars, Breakfast & Brunch, Restaurants, Burgers, Canadian (New)",3.5,H2Y 1L5
0mTK8XGDAm_ocKyz9jcgWg,Sushi St-Jean,"Restaurants, Buffets, Sushi Bars, Japanese",4.0,H1B 4A2
0mYyVfK-FHQdYYLXf_M16w,Ichi Sushi,"Restaurants, Sushi Bars",4.0,H2T 1N4
0owIRP_z5RcYKKmh5RnD7A,Cabane Hot-Dogs,"Food, Barbeque, Specialty Food, Restaurants, Fast Food, Hot Dogs",4.0,H2X 3K4
0pNhkIpD_RK0SVnuIo-sKA,L'Arrivage,"Restaurants, French",4.0,H2Y 3Y5
0qOoyj8Gvkgafw3CobyETQ,Soupçon Cochon,"Salad, Sandwiches, Soup, Restaurants",4.5,H2T 1A5
0qpghEyCncWjrsK80btMbQ,Tacos Frida,"Restaurants, Mexican",4.5,H4C 2W6
0tdb8obKuQ41aZ5QPIC7EQ,Second Cup,"Food, Coffee & Tea, Cafes, Restaurants",4.0,H2W 1X9
0u1ZE3rTaQ2wK0bTzSZdqA,La Boulette,"Restaurants, Burgers",4.0,H2G 2M8
0y1uPK9uqwGQ074K4BxJwQ,Nagoya Sushi,"Restaurants, Sushi Bars",4.5,H3Z 1R7
0zmewSkB-7NEXC8DkD5sgw,Espace Culinaire Fletchers,"Restaurants, Breakfast & Brunch, Kosher, Tours, Hotels & Travel, Cafes, Bagels, Food, Food Tours",5.0,H2W 1Y8
10RFV-vuQ52VUkmzFXbWaA,Le Bureau,"Tapas/Small Plates, Dive Bars, Bars, Nightlife, Lounges, Cocktail Bars, Gastropubs, Restaurants, Tapas Bars",3.5,H3J 1M1
17jcc6RYsSgf3NgWE0LUYw,Grenouille,"Canadian (New), Restaurants",4.0,H2J 1X1
19wvilYB417bpSWrNl19bw,Le Speakeasy,"International, Cocktail Bars, Food, Speakeasies, Nightlife, Beer, Wine & Spirits, Restaurants, Asian Fusion, Bars",4.5,H2Y 2E5
1C5JzSid3i7Xr47i0J2DZA,Napoli Pizzeria,"Restaurants, Italian, Pizza",3.5,H2X 3K4
1IHpn-2l9_r7mfFiU8xNvQ,Nami,"Asian Fusion, Japanese, Sushi Bars, Restaurants, Vietnamese, Buffets",4.0,H2G 2X4
1LELXxqe2IM2opJbi4dcaA,Centrale Bergham,"Sandwiches, Restaurants, French, Burgers",4.0,H2X 2T6
1M_EjuTA1qM7lNDchPjLpQ,L'Gros Luxe Plateau,"Coffee & Tea, Pubs, Lounges, Food, Nightlife, Restaurants, Breakfast & Brunch, Cafes, Bars",4.0,H2L 3V9
1O5wKnCuT643BjCu4g8Mgg,M4 Burritos Université Concordia,"Mexican, Restaurants",3.0,H3H 2M8
1Ok2EXqdH-R0sy-_tyOrMg,Enoteca Monza,"Pizza, Italian, Wine Bars, Restaurants, Bars, Nightlife",3.5,H3B 2Y4
1PY66FSWslYJarQlXx4b_w,Icehouse,"American (New), Restaurants, Tex-Mex, Nightlife, Bars",3.5,H2W 1L8
1Q2_qfRwRziYXdCX5Oda6Q,Hakata Ramen,"Noodles, Restaurants, Ramen, Japanese",3.0,H3B 2S7
1QqnXmrWNe2IAzPag4hH5A,Ristorante Il Caviliere,"Italian, Restaurants",4.0,H2L 4X4
1Qu79wZHyP24JZWDS0DlJg,Faros,"Restaurants, Seafood, Greek, Mediterranean",4.0,H2V 2G4
1R_DfaUbTzWOFR2Xj_HofA,Dic Ann's Hamburgers,"Food, Burgers, Restaurants",3.5,H3H
1YeIANv8LhILqUgiRE9QEw,Poulet Rouge Ste-Catherine,"Chicken Shop, Canadian (New), Fast Food, Restaurants",4.0,H3H 1L8
1_3nOM7s9WqnJWTNu2-i8Q,Le Bistro Balmoral,"Arts & Entertainment, Restaurants, Festivals, Gastropubs, French",3.0,H2X 2A1
1_d7l4xOVYhtsvkgleAlFQ,Alba,"International, Mediterranean, Italian, Seafood, French, Restaurants",4.5,H3A 1G6
1cRvhC7shC6UneMqRYm4yg,Grange Vin et Bouffe,"Comfort Food, Beer, Wine & Spirits, Tapas/Small Plates, Arts & Entertainment, French, Restaurants, Food, Wineries",3.5,H2Y 2E5
1e7hOSI9GEE-dTxIcA3c0Q,Pikolo,"Breakfast & Brunch, Coffee & Tea, Restaurants, Cafes, Food",4.0,H2X 2H5
1eBAbrAsgc5eImp2ahjFgw,Les Incorruptibles,"Nightlife, Lounges, Bars, Wine Bars, Restaurants, Gastropubs, Cocktail Bars, French",3.5,H2C 1S1
1fFRUk4ZmGIInV9IH3tFxw,Code Ambiance,"Mediterranean, Nightlife, Bars, Restaurants, Wine Bars, Canadian (New), French, Asian Fusion",3.5,H3J 1M6
1gAyUfQzUgd_7xAqyJUrvA,Pique Nique,"Restaurants, Turkish, Cafes, Halal",3.0,H3H 1M1
1iKMxBsTsPSoEzYUf1AijA,Paradise Biryani Pointe,"Indian, Restaurants",3.0,H3H 2M4
1lLJDy73uBp_I2LJ0B0Fkw,Santos,"Nightlife, Restaurants, Tapas Bars, Lounges, Bars",3.0,H2Y 1Z5
1mGHeSYj-iCilxQYLXSlUg,Luciano Trattoria,"Italian, Restaurants",4.0,H2S 1N5
1mef9jhlwhL1f2jIX-AVQg,Tehran Restaurant,"Restaurants, Persian/Iranian, Middle Eastern",3.5,H4A 1Y9
1ph26r9wTcZRxG3EN8dSvA,Jane,"Pizza, Mediterranean, Restaurants",3.5,H3J 1M3
1rURUVztowOl0lMoVHyNpw,Restaurant Épik,"Tapas/Small Plates, Wine Bars, Cocktail Bars, Italian, Nightlife, Mediterranean, Restaurants, Bars",4.5,H2Y 1Z5
1sKUm7jurmshxIrb-ku2Eg,Le Tablier Rouge,"Butcher, Restaurants, Burgers, Food, Ethical Grocery",3.5,H2C 1P8
1sYaUCryETlbl-Y-2hmedw,MR Azteca,"Restaurants, Mexican",4.0,H2R 2N3
1tuA2XHiwL2NKl_ZwnPXjg,Pizza Show,"Restaurants, Pizza",3.5,H3T 1Y1
1uPQTz5XZSWr0ti7kUpaDw,Mai Xiang Yuan,"Restaurants, Chinese",4.0,H2Z 1J5
1vSag1McXH4KgRJHupJapw,Mikes,"Italian, Restaurants, Pizza",2.5,H5B 1B8
1wu2gJftso-60wh17xEXVw,Viva Mexico,"Restaurants, Canadian (New), Mexican",4.5,H2R 2N3
1ygnKJKee39Y31Nrb6X0cg,Niko's Pizza & Deli,"Restaurants, Pizza, Delis, Greek, Sandwiches",4.0,H4J 1E2
1ziYClLmdE0CdHqlt9H1dw,Caffè Art Java,"Food, Cafes, Restaurants, Coffee & Tea",4.0,H3A 1K1
20Uv2Y0oH8H-oIFWrnqNeA,Le Phillies Cheesesteak,"Cheesesteaks, Sandwiches, American (Traditional), Restaurants",3.5,H2T 2L2
22BUjjgsNu7CZLhLZEl7Zw,Thai Express,"Thai, Sushi Bars, Restaurants",3.0,H4P 2T5
25m6rM6hFw2CGADUjbYKXg,Pastaga,"Breakfast & Brunch, Tapas/Small Plates, Restaurants, Wine Bars, Nightlife, Brasseries, Bars",4.5,H2S 3C3
28WPlFlsKchH-3dkub1Iiw,La Cage,"Bars, Nightlife, American (Traditional), Chicken Wings, Sports Bars, Restaurants",3.5,H1M 1E9
29Z_lTBAAPNifXBpSX5esA,Griyo,"Caribbean, Restaurants, Cajun/Creole, Tapas Bars",4.0,H2C 1S7
29dIXUeStU7flMUV-630Uw,Sakura,"Japanese, Restaurants",3.5,H3A 1B1
29ljJsh9029okll_6YZ3iw,2K Fusion,"Sushi Bars, Chinese, Thai, Restaurants, Vietnamese, Bars, Nightlife, Karaoke",2.5,H2R 1S6
2CqBStsdA-Yj7P9X-8nDbg,Sawadika,"Thai, Vegetarian, Asian Fusion, Restaurants",3.5,H4L 2A6
2Gp5wNgcmucHfUAc6AwRSg,Toro Rosso,"Restaurants, Canadian (New)",3.0,H2L 2H8
2I3ijdmw6dzHsDJyq-6t5g,Coco Gallo,"Diners, Restaurants, Breakfast & Brunch",3.0,H2S 1N4
2LOTz08OPRyA0ibJImJRbQ,Impasto,"Restaurants, Italian",4.5,H2S 1J5
2MSqfWIaD58x7eysFN-9qA,Mei Restaurant,"Chinese, Dim Sum, Restaurants",3.5,H3G 2H6
2NpoKiship3R6lqexwbFVw,Au 14 Prince Arthur Ouest,"Asian Fusion, Vietnamese, Restaurants",3.5,H2X 1S3
2NrN7zt2R9Bx6_MJWmOCTw,El Nopal,"Latin American, Restaurants, Mexican",5.0,H2J 2L5
2O8Hq2eQ0hGFywNFJzuJqA,Restaurant Pizzeria Hochelaga,"Pizza, Restaurants",2.5,H1V 1E2
2OED-pRmbD8CpSgpcYPflg,Le Watson,"Coffee & Tea, Food, Restaurants, Vegan, Sandwiches, Juice Bars & Smoothies, Cafes",5.0,H2S 1C8
2PDCtdFPRaXdqKtVrx0aIg,Le Richmond - Marché Italien,"Italian, Delicatessen, Grocery, Food, Restaurants",3.5,H3J 1T9
2QFXPtto9n7BGv2pfnek0w,William J. Walter,"Cheese Shops, Food, Sandwiches, Restaurants, Meat Shops, Specialty Food, Delis",4.5,H2H 1J5
2QzGh0UPJVbjtRlujmBXpw,Le P'tit Plateau,"French, Restaurants",4.5,H2W 1B1
2RWOMcGakXHEdgFctf03Eg,La Petite Gondole,"Halal, Pizza, Burgers, Comfort Food, Restaurants, Delis",4.5,H1M 1A9
2SaGdoBtccnmTXuIN89G4Q,Les Casseroles de MoMo,"Restaurants, Indian, Breakfast & Brunch, Bangladeshi, Asian Fusion",5.0,H3N 2B2
2VxWrTRKAIVYmrlLAtNY9A,Grenade,"Asian Fusion, Bars, Nightlife, Restaurants",4.0,H2L 1S5
2WfY9bow3Mv924gfDB8kqg,Restaurant Rosalie,"Italian, American (New), Restaurants, Nightlife, Bars, Lounges, Dance Clubs",3.0,H3G 1Z1
2ZEnhnWEascgZDMdf6kfAg,Chez Chen,"Chinese, Restaurants",4.0,H3H 2L8
2ZU3ujOk7cDnIOIRGmBgjg,La Cuisine d'Izza,"Restaurants, Tea Rooms, Food, Moroccan",4.0,H2T 2K4
2f6N22VYSwEndSq7oYL6CQ,Restaurant Ganges,"Restaurants, Indian",4.0,H4A 1Y2
2g11fsiujICqRft-Gq_FBg,Café Larue & Fils,"Cafes, Restaurants",4.5,H2P 1V2
2g7BfzamlNGPP6jMZrt8kw,L'Aromate,"French, Asian Fusion, Restaurants",3.0,H3A 0A5
2gUbgbdJ7IFSbicBXlSchw,L'Express,"Nightlife, French, Breakfast & Brunch, Restaurants, Bars",4.0,H2W 2M4
2i4lzMUG2I38c8tDX6d9mw,Café Melbourne,"Restaurants, Cafes",4.0,H2T 1R2
2lqPBsK4Q32yWvnlYqXoIA,Joverse,"Bars, Nightlife, Tapas/Small Plates, Restaurants",3.5,H2Y 1L2
2meb5cwKh125tF5IwUiIJA,Pâtisserie Harmonie,"Restaurants, Chinese, Food, Bakeries",4.0,H2Z 1C2
2pNdmJjM7D-hgZX-uRcCGA,Parm,"Restaurants, Italian",3.0,H3Z 1H3
2ph-6k3mXY93TLDCteC6IQ,Restaurant Jolee,"Indian, Sri Lankan, Restaurants",3.5,H3W 2P9
2psXaEmVa5l9Nwl1V5u8TQ,Le Roi Du Plateau,"Portuguese, Restaurants",5.0,H2W 1G2
2rxG9WYd3qJoN4m8Mb-OLA,Café Noir,"Restaurants, Cafes",2.0,H2P 1E6
2tOFKXY2cBqLG8FYdaJHEw,Royal Phoenix,"Gastropubs, Nightlife, Restaurants, Bars, Karaoke, Gay Bars",3.5,H2T 1A5
2tiFUn8EU0EpjWBHjt1L6w,Wok Cafe,"Pan Asian, Chinese, Restaurants",2.0,H3H 1M2
2uGCN-Fni-M_YOSmnA21Eg,Café Rose de Lima,"Coffee & Tea, Breakfast & Brunch, Cafes, Food, Restaurants",4.0,H4C 1P4
2ucxVuwDJDFfokHvgnjsMg,Café Zosha,"Vegetarian, Desserts, Cafes, Restaurants, Food",4.0,H2V 4G9
2vQGEfAj_8JXIjNO_Q-EpQ,La Rotonda,"Burgers, Restaurants, Pizza, Italian, Sandwiches",2.5,H1E 3N1
2vYRUAonMg9HBUDs30NL8g,Pub Bishop & Bagg,"Nightlife, Bars, Breakfast & Brunch, Beer, Wine & Spirits, Comfort Food, British, Food, Restaurants, Pubs, Cocktail Bars, American (Traditional)",4.0,H2T 2K8
2wFSVah7gU9ImNuBHwIaDg,Belon,"Seafood, Restaurants, Nightlife, Bars",4.0,H2Z 1N1
2xKGSQcrC4Tka_ejkDT3vA,Chatime,"Restaurants, Taiwanese, Food, Coffee & Tea, Juice Bars & Smoothies",4.0,H2X 2H5
301VZvZvjGes5Dxu255Gsw,Monsieur Restaurant and Bar,"Canadian (New), Bars, Nightlife, Restaurants",4.5,H2Z 1N4
31KfCljxlb6zRS8r00lm2w,Duc de Lorraine,"Restaurants, Cheese Shops, Sandwiches, Cafes, Delis, Tea Rooms, Desserts, Specialty Food, French, Bakeries, Food, Patisserie/Cake Shop, Coffee & Tea",4.0,H3V 1G6
33vbsWfLBMhndeE3jZiFrQ,Pandore,"Nightlife, Bars, French, Dance Clubs, Restaurants, Canadian (New)",3.0,H2X 1K4
34kffX28O5H1hif6i0oHOg,Les Filles du Roy,"French, Restaurants, Party & Event Planning, Event Planning & Services, Wedding Planning, Hotels, Hotels & Travel",4.0,H2Y 3C3
35FhZe1cVArSB9ha-dGA8w,Café Tuyo,"Coffee & Tea, Food, Sandwiches, Breakfast & Brunch, Specialty Food, Internet Cafes, Cafes, Vegan, Restaurants, Vegetarian",4.5,H2W 1B3
36pB0QVVNZuOLV_UxosbAQ,Marmite Su'l Feu,"Reunion, French, African, Cajun/Creole, Restaurants",4.5,H4C 1H7
39sCYNzSYk_z8v_KoLH0KA,Juliette & Chocolat,"Restaurants, Creperies, Cafes, Specialty Food, Desserts, Chocolatiers & Shops, Food",4.0,H2X 3K3
3CUXYDDQtrrg0u7qGcTTkQ,Burger Royal,"Restaurants, Comfort Food, Salad, Hot Dogs, Vegan, Food, Burgers, Poutineries",4.0,H2W 1X6
3DFEdgcgJ1GzRxUV0rbgtw,Sen Vang,"Restaurants, Vietnamese",4.5,H3W 2P8
3DGtOhtb6jNdRs9T9gH9WA,Universel,"American (Traditional), Restaurants, Burgers, Breakfast & Brunch, Pizza, Seafood",4.0,H2X 3L7
3Dv-WQpSmdKhrDKiX9iOkA,La Cage Aux Sports,"Burgers, Restaurants, Chicken Wings, Sandwiches",3.0,H2Y 1G6
3FfEjcnsERHlDRlJ_w-xbw,Med Pizza,"Turkish, Food, Mediterranean, Fast Food, Restaurants, Food Delivery Services, Italian, Pizza",3.5,H2X 2V5
3Gg32ssi9SlBM1bhIOi9Hg,Pita Gourmet,"Restaurants, Turkish, Greek, Middle Eastern, Mediterranean, Lebanese, Kebab, Sandwiches",4.0,H2S 1Z4
3IQPoS4vdNwHMa5vf3b1og,Lallouz Café & Kébaberie,"Middle Eastern, Restaurants",4.5,H2L 2H6
3QBI8R6Aa52Thc38MvTXiA,La Maison Bulgogi,"Restaurants, Korean",2.5,H3H 1M6
3XaUuNIOuBhStd4d_-az8w,Casa del Popolo,"Coffee & Tea, Restaurants, Food, Vegetarian",4.0,H2T 1R6
3YMg6bACfqvrG7MReP-_jA,Food de Toi,"Specialty Food, Vegan, Gluten-Free, Restaurants, Food, Juice Bars & Smoothies, Health Markets, Vegetarian",2.5,H4A 1H1
3_rz2ahotxjmVH0sbIaP_A,L'Olive Noire,"Restaurants, Moroccan, African",4.0,H1V 1K4
3bGvNDlPKYspGObKhHebTw,La Récréation,"Restaurants, Coffee & Tea, Art Galleries, Shopping, Cafes, Food, Arts & Entertainment",4.0,H2L 1N6
3bVc_IDRyAXpg__qkEEXyw,Crudessence,"Vegan, Gluten-Free, Restaurants, Live/Raw Food",4.0,H3G 2J2
3cSe8U3u-rscNruJ6GofpQ,Uniburger,"Restaurants, Fast Food, Burgers",4.0,H2X 1H6
3cu4pGmmMf-ZSL69nP1lKQ,Sababa Grill,"Middle Eastern, Specialty Food, Restaurants, Food, Ethnic Food",4.0,H2W 1Z8
3eEI5NKOlG2YMEHKAPMivw,Thai Express,"Restaurants, Mediterranean, Thai",3.0,H4C 1N9
3f0-EXRF0oy6NDsFh9TJKA,GaNaDaRa,"Restaurants, Korean",4.0,H3H 1J9
3jKUbhGSjFTv5jZ0wnW0xA,Les Deux Gamins,"Restaurants, Bars, Cafes, Wine Bars, French, Nightlife",4.0,H2X 1B7
3jdNr1CFLrsjRf5yva2nFg,Chop'd & Co,"Salad, Juice Bars & Smoothies, Food, Sandwiches, Restaurants",3.0,H3B 1M6
3lX1V-2qaoEqYgC4oAg2Rg,Le Moineau Masqué,"Restaurants, Food, Coffee & Tea, Cafes",4.0,H2J 2B3
3mr1-uwrYFwFDQO9WNEVqw,Restaurant Il Galateo,"Restaurants, Italian",4.0,H3T 1X1
3o6Nd04uG46TglK7Px8Wlg,Thai Express,"Thai, Restaurants",2.5,H2J 2L2
3oEZqnsMSGsSEoXI5d5vsw,L'Or en Grain,"Restaurants, Cafes, Coffee & Tea, Food",4.5,H2J 2H4
3p0yosq4IE5E2B91PdoOSQ,Khyber Pass,"Restaurants, Afghan",4.0,H2L 1A7
3p3Rv_iGr_hzFlqsK-rebg,Matterello,"Restaurants, Italian",4.5,H2S 2S4
